lat,lng,chat_hint,ward_hint,municipality_hint,matched_shop_name,matched_ward,matched_municipality,match_score,auto_applied,raw_context
-29.211189,31.151531,Kwa Jim supermarket,,,KwaJIM,01,NDWEDWE,0.92,YES,"Kwa Jim supermarket (iLembe, iLembe District Municipality, ZA): https://maps.google.com/?q=-29.211189,31.151531"
-29.528112,30.94734,Gasela Primary School,,,Gasela,5,Ndwedwe,0.80,YES,"Gasela Primary School (iLembe District Municipality, ZA): https://maps.google.com/?q=-29.528112,30.947340"
-29.588116,30.851511,Kwamwema,,,KwaMfeka Store,1,Mandeni,0.75,YES,"Kwamwema (Ndwedwe Local Municipality, ZA): https://maps.google.com/?q=-29.588116,30.851511"
-29.534163,30.863337,Tafamasi,,,Tafara,15,KwaDukuza,0.71,NO,"Tafamasi (Ndwedwe Ward 18, ZA): https://maps.google.com/?q=-29.534163,30.863337"
-29.554718,30.722748,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.554718,30.722748"
-29.36768,31.263794,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.367680,31.263794"
-29.087479,30.967175,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.087479,30.967175"
-29.512392,30.938429,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.512392,30.938429"
-29.368034,31.265463,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.368034,31.265463"
-29.082895,30.974215,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.082895,30.974215"
-29.553665,30.732933,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.553665,30.732933"
-29.390591,31.278406,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.390591,31.278406"
-29.325716,30.918652,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.325716,30.918652"
-29.310501,30.904789,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.310501,30.904789"
-29.548235,30.736683,Location,,,F section supermarket,5,Kwadukuza,0.59,NO,"Location: https://maps.google.com/?q=-29.548235,30.736683"
